number,time2resolve
BKOP0115531,50 days 02:01:14
BKOP0115533,50 days 02:10:24
BKOP0115535,0 days 01:23:20
BKOP0115537,0 days 01:21:28
BKOP0115543,0 days 00:17:07
BKOP0115547,0 days 01:07:48
BKOP0115591,0 days 16:45:38
BKOP0115593,0 days 16:01:42
BKOP0115595,0 days 17:51:00
BKOP0115602,12 days 03:42:24
BKOP0115611,83 days 01:15:49
BKOP0115615,0 days 01:15:42
BKOP0115635,0 days 01:21:04
BKOP0115648,3 days 20:27:03
BKOP0115661,3 days 00:40:54
BKOP0115663,2 days 22:46:51
BKOP0115664,2 days 23:57:07
BKOP0115673,3 days 03:05:59
BKOP0115676,3 days 02:02:07
BKOP0115703,51 days 17:09:26
BKOP0115708,2 days 19:50:26
BKOP0115799,0 days 01:16:40
BKOP0115803,0 days 01:04:58
BKOP0115814,0 days 02:06:36
BKOP0115840,0 days 17:00:59
BKOP0115865,12 days 21:59:21
BKOP0115866,7 days 20:38:38
BKOP0115911,5 days 02:07:06
BKOP0115969,0 days 00:41:19
BKOP0115984,0 days 17:40:01
BKOP0116026,0 days 00:51:24
BKOP0116039,2 days 18:02:56
BKOP0116055,4 days 22:36:13
BKOP0116060,13 days 05:41:40
BKOP0116064,0 days 23:20:24
BKOP0116067,2 days 00:02:43
BKOP0116083,1 days 21:04:35
BKOP0116089,11 days 21:24:57
BKOP0116099,1 days 17:19:33
BKOP0116100,1 days 18:39:57
BKOP0116102,1 days 19:39:36
BKOP0116104,1 days 19:42:38
BKOP0116106,1 days 01:01:05
BKOP0116111,1 days 08:24:05
BKOP0116113,0 days 01:09:27
BKOP0116114,2 days 19:03:39
BKOP0116119,0 days 03:44:19
BKOP0116133,9 days 21:38:32
BKOP0116140,0 days 04:06:00
BKOP0116141,0 days 23:27:56
BKOP0116199,1 days 17:39:20
BKOP0116224,0 days 01:53:57
BKOP0116230,0 days 00:59:43
BKOP0116233,0 days 04:58:47
BKOP0116235,0 days 17:28:59
BKOP0116245,1 days 22:20:43
BKOP0116260,0 days 18:38:43
BKOP0116261,0 days 18:42:40
BKOP0116313,0 days 06:42:21
BKOP0116381,7 days 00:26:49
BKOP0116388,0 days 00:21:28
BKOP0116399,0 days 17:38:59
BKOP0116415,0 days 07:25:47
BKOP0116416,0 days 07:28:35
BKOP0116417,4 days 23:26:07
BKOP0116420,0 days 02:04:52
BKOP0116423,0 days 02:50:14
BKOP0116437,0 days 02:13:16
BKOP0116451,3 days 17:49:03
BKOP0116455,4 days 17:57:40
BKOP0116457,6 days 03:51:39
BKOP0116459,6 days 03:54:17
BKOP0116461,3 days 21:20:56
BKOP0116468,2 days 14:59:22
BKOP0116475,2 days 21:04:54
BKOP0116477,2 days 17:29:56
BKOP0116507,1 days 08:22:48
BKOP0116510,1 days 22:25:16
BKOP0116514,1 days 21:56:52
BKOP0116541,1 days 19:29:51
BKOP0116542,16 days 19:36:51
BKOP0116548,8 days 19:40:06
BKOP0116564,1 days 03:48:47
BKOP0116565,1 days 03:52:38
BKOP0116576,0 days 01:55:28
BKOP0116615,0 days 21:28:50
BKOP0116628,0 days 07:44:27
BKOP0116632,10 days 01:46:05
BKOP0116635,0 days 04:10:59
BKOP0116639,0 days 04:35:54
BKOP0116642,0 days 02:09:07
BKOP0116645,0 days 01:37:34
BKOP0116708,1 days 15:11:53
BKOP0116710,0 days 00:08:50
BKOP0116725,14 days 19:01:09
BKOP0116731,1 days 22:36:41
BKOP0116759,0 days 00:13:20
BKOP0116766,1 days 02:26:54
BKOP0116803,0 days 18:46:43
BKOP0116842,1 days 19:00:33
BKOP0116843,1 days 16:53:04
BKOP0116848,0 days 21:16:18
BKOP0116861,0 days 00:21:07
BKOP0116865,0 days 00:46:11
BKOP0116869,0 days 00:32:45
BKOP0116898,1 days 03:55:41
BKOP0116905,0 days 19:04:19
BKOP0116917,0 days 00:22:49
BKOP0116918,0 days 22:21:51
BKOP0117005,14 days 01:17:36
BKOP0117006,19 days 20:36:25
BKOP0117007,10 days 03:55:40
BKOP0117012,0 days 03:09:53
BKOP0117064,0 days 01:42:47
BKOP0117088,10 days 00:14:16
BKOP0117140,2 days 16:59:38
BKOP0117168,2 days 05:10:48
BKOP0117188,1 days 19:20:57
BKOP0117194,1 days 17:56:45
BKOP0117206,0 days 03:43:51
BKOP0117240,0 days 23:54:26
BKOP0117241,0 days 22:34:03
BKOP0117243,0 days 00:29:31
BKOP0117268,0 days 04:05:40
BKOP0117272,6 days 00:51:14
BKOP0117279,0 days 02:04:40
BKOP0117287,0 days 00:39:28
BKOP0117306,3 days 01:56:45
BKOP0117308,2 days 01:39:01
BKOP0117313,0 days 21:17:30
BKOP0117323,0 days 18:52:50
BKOP0117324,0 days 18:34:05
BKOP0117326,0 days 00:10:01
BKOP0117331,1 days 23:22:11
BKOP0117343,0 days 21:59:55
BKOP0117344,0 days 22:05:32
BKOP0117355,0 days 17:57:29
BKOP0117356,0 days 01:41:35
BKOP0117364,0 days 01:51:26
BKOP0117368,0 days 01:16:38
BKOP0117370,2 days 04:49:44
BKOP0117386,0 days 01:44:56
BKOP0117388,1 days 00:16:49
BKOP0117392,0 days 01:13:27
BKOP0117393,0 days 02:10:56
BKOP0117394,0 days 01:22:37
BKOP0117395,0 days 01:13:42
BKOP0117411,0 days 17:29:27
BKOP0117413,0 days 14:31:53
BKOP0117429,0 days 22:17:51
BKOP0117441,0 days 02:55:04
BKOP0117443,1 days 03:47:21
BKOP0117447,0 days 02:28:21
BKOP0117461,1 days 01:22:41
BKOP0117474,0 days 22:30:36
BKOP0117476,0 days 17:28:43
BKOP0117479,0 days 17:28:26
BKOP0117483,0 days 16:59:10
BKOP0117492,3 days 18:43:13
BKOP0117494,4 days 14:15:41
BKOP0117498,4 days 01:24:11
BKOP0117501,0 days 05:50:02
BKOP0117503,3 days 04:11:36
BKOP0117505,0 days 02:23:56
BKOP0117506,3 days 03:48:19
BKOP0117508,0 days 03:56:19
